k,xzero,xt,ComponentA,ComponentB,Fatigue
1.0273233462,0.0778798814,0.0277063617,0.972261087,0.0284968329,0.0501735197
0.675118899,0.7876662981,0.0,1.0,0.0,0.7876662981
1.9089877492,0.0884382316,0.47616217,0.52383783,0.9089877492,0.3877239385
1.0731014832,0.828456342,0.0681409315,0.9318575502,0.073123764,0.7603154104
2.9158100367,0.0701342674,0.6570311581,0.3429458902,1.9158449679,2.0289819516
1.937569689,0.6761301914,0.4838895315,0.5161104685,0.937569689,0.3114488489
0.1193812862,0.0844472543,0.0,1.0,0.0,0.0844472543
3.4871815594,0.0313069554,0.390265487,0.1284011586,3.0394234068,39.9289318796
1.5002022054,0.1372947957,0.3334231903,0.6665768097,0.5002022054,0.1961283946
2.1164668109,0.6516836669,0.527514443,0.472485557,1.1164668109,0.2201491542
3.060669375,0.910257703,0.5822785775,0.2555526654,2.2785071582,16.9624927389
1.0101247904,0.9032487274,0.0146905038,0.9852388522,0.0149106014,0.8885582236
1.3868401189,0.835368233,0.2789363486,0.7210636514,0.3868401189,0.7328454746
2.5358245212,0.2160920462,0.6056509464,0.3943490536,1.5358245212,0.4592893703
0.6597226172,0.2390968938,0.0,1.0,0.0,0.2390968938
3.0280276925,0.8794759795,0.6132098004,0.2820809601,2.1738787338,7.0910240221
2.9863565803,0.0819484492,0.6555601726,0.3254101511,2.0145658342,5.7514629977
0.5060386246,0.6719915813,0.0,1.0,0.0,0.6719915813
1.8175556173,0.8478131088,0.449810509,0.550189491,0.8175556173,0.8285996054
3.7960120721,0.5689046614,0.7676503016,0.2814261309,2.7277150819,40.7247549438
3.9762803426,0.245322163,0.9111374225,0.3555810086,2.5623905681,46.2100334031
0.2948512268,0.0860213125,0.0,1.0,0.0,0.0860213125
0.0435298075,0.1088026089,0.0,1.0,0.0,0.1088026089
3.1159404959,0.5642552033,0.5496158915,0.2286855011,2.4033700823,22.0934472421
0.5982961573,0.2706450297,0.0,1.0,0.0,0.2706450297
0.8770338006,0.0286847033,4.65e-08,0.999999947,4.65e-08,0.0286846569
3.7394280752,0.1634253246,0.8418033036,0.342251853,2.4596018873,41.9859032309
2.1497347826,0.511220254,0.5348263385,0.4651736615,1.1497347826,0.0291294934
3.2327999778,0.0073745174,0.5011335354,0.1918041594,2.6127354956,29.8887910128
3.1587897709,0.009014841,0.5296579498,0.2130810098,2.4857116569,24.9561419947
2.492405798,0.641160621,0.5987812254,0.4012187746,1.492405798,0.1368375553
0.7629500326,0.0308684425,0.0,1.0,0.0,0.0308684425
0.8734823431,0.4835654102,1.155e-07,0.9999998678,1.155e-07,0.4835652947
1.3328692123,0.2913470327,0.249738841,0.750261159,0.3328692123,0.0416081917
1.3774193921,0.6478896233,0.2740047035,0.7259952965,0.3774193921,0.3738849198
0.8502874926,0.3583276438,8.6e-09,0.9999999899,8.6e-09,0.3583276352
0.3375318305,0.9468533105,0.0,1.0,0.0,0.9468533105
0.2662776582,0.1231950368,0.0,1.0,0.0,0.1231950368
3.2247562189,0.7065336614,0.8061384205,0.4960374603,1.6251563341,28.0567741884
0.837499436,0.038518752,6e-10,0.9999999993,6e-10,0.0385187514
3.5323384672,0.0822728849,0.3678516642,0.1180815314,3.1152345315,39.7742703736
1.524654682,0.7341148367,0.3441137775,0.6558862225,0.524654682,0.4830331777
0.9416347653,0.131749475,9.59726e-05,0.9998980684,9.59824e-05,0.1316535024
0.0100001957,0.1468216294,0.0,1.0,0.0,0.1468216294
1.1140173412,0.3415685246,0.1023482398,0.8976517171,0.114017762,0.2392202848
0.2104295234,0.225259355,0.0,1.0,0.0,0.225259355
2.6794744986,0.2077655943,0.6267924921,0.3732075079,1.6794744986,0.6400648501
0.5480125533,0.0422621136,0.0,1.0,0.0,0.0422621136
3.8629096696,0.6028942419,0.5645462624,0.1777351151,3.1763349747,45.3617209692
0.339705723,0.8551705658,0.0,1.0,0.0,0.8551705658
0.4651716033,0.4863497803,0.0,1.0,0.0,0.4863497803
3.9813221479,0.9659266059,0.3593443634,0.8996779389,0.3994144436,41.7805733412
1.6532711051,0.0669310341,0.3951385245,0.6048614755,0.6532711051,0.3282074904
2.500298762,0.2999743781,0.6000477962,0.3999522038,1.500298762,0.3980499439
2.3067703218,0.9590647339,0.566493469,0.433506531,1.3067703218,1.3689893249
3.3025296005,0.307508042,0.4786685472,0.1758703528,2.7217125544,31.3360644352
3.5026678165,0.4592706499,0.5024916896,0.1735948904,2.8946225809,41.003165025
3.9381485068,0.0893141676,0.7326912386,0.2471159795,2.9649690813,41.2726122652
0.0459811988,0.0278557408,0.0,1.0,0.0,0.0278557408
0.8306586393,0.7661397224,8e-10,0.999999999,8e-10,0.7661397216
1.4387042046,0.1828273406,0.3049300914,0.6950699086,0.4387042046,0.1221027508
0.707065385,0.0580916987,0.0,1.0,0.0,0.0580916987
3.7080255377,0.8789837092,0.9201098697,0.5431264266,1.6940988777,34.7453998772
0.701116985,0.9093753116,0.0,1.0,0.0,0.9093753116
3.5040681117,0.3573850968,0.3806827576,0.12402158,3.069488048,40.8871827639
0.6951645309,0.7709470545,0.0,1.0,0.0,0.7709470545
0.0365573798,0.2671139367,0.0,1.0,0.0,0.2671139367
1.7998346258,0.878764067,0.4443933983,0.5556066017,0.7998346258,0.939656689
0.3485310662,0.2437169834,0.0,1.0,0.0,0.2437169834
2.9049178879,0.9042411782,0.6557526896,0.3442399408,1.9049291263,2.3495296086
1.8739496572,0.5453033715,0.466367735,0.533632265,0.8739496572,0.0823884495
0.3321524552,0.444842376,0.0,1.0,0.0,0.444842376
0.6792332267,0.3784790731,0.0,1.0,0.0,0.3784790731
0.3730894465,0.1252349048,0.0,1.0,0.0,0.1252349048
1.5744487519,0.7918404158,0.3648570658,0.6351429342,0.5744487519,0.6376673144
0.8736220351,0.9523575809,4.66e-08,0.9999999466,4.66e-08,0.9523575343
1.3393728324,0.0096424459,0.2533818995,0.7466181005,0.3393728324,0.2437394536
0.1014515299,0.349644703,0.0,1.0,0.0,0.349644703
1.8319190576,0.0452555071,0.4541243535,0.5458756465,0.8319190576,0.4088688463
0.9412620525,0.6011259085,0.000110567,0.9998825195,0.0001105799,0.6010153415
0.6977910992,0.6779038143,0.0,1.0,0.0,0.6779038143
0.1010324809,0.306681697,0.0,1.0,0.0,0.306681697
1.3130581835,0.3594085632,0.2384191252,0.7615808748,0.3130581835,0.120989438
1.8496163646,0.2412909085,0.459347344,0.540652656,0.8496163646,0.2180564355
0.1256777726,0.6434913629,0.0,1.0,0.0,0.6434913629
3.2825037983,0.522717625,0.4847799399,0.1801344432,2.6912118043,33.4657766585
1.8030593824,0.6767937981,0.4453870961,0.5546129039,0.8030593824,0.3333642207
2.5381457971,0.7997694577,0.6060116006,0.3939883994,1.5381457971,0.6205472937
0.1207472111,0.5291498107,0.0,1.0,0.0,0.5291498107
0.0508361583,0.6025954555,0.0,1.0,0.0,0.6025954555
1.2037114486,0.5791000095,0.1692361145,0.8307638855,0.2037114486,0.409863895
1.4445075247,0.068491517,0.3077225401,0.6922774599,0.4445075247,0.2392310231
3.4959411767,0.9437987561,0.3850502112,0.1260241637,3.0553681136,41.2395932412
0.4416834807,0.3311472981,0.0,1.0,0.0,0.3311472981
1.5341727114,0.2115381889,0.348182905,0.651817095,0.5341727114,0.1366447161
0.3664700777,0.0544729005,0.0,1.0,0.0,0.0544729005
2.3148272064,0.9038919779,0.5680023126,0.4319976874,1.3148272064,1.0900432463
1.0450887918,0.8118594505,0.0434525739,0.9565327177,0.0454271695,0.7684068766
2.5108057659,0.1218537505,0.6017214818,0.3982785182,1.5108057659,0.5906157508
0.1281803924,0.8186634082,0.0,1.0,0.0,0.8186634082
0.515672298,0.9509811728,0.0,1.0,0.0,0.9509811728
0.1899551231,0.6460208489,0.0,1.0,0.0,0.6460208489
2.826382439,0.9364337127,0.6461908385,0.3538091609,1.8263824399,1.5974502429
1.4919378949,0.6073948619,0.3297308129,0.6702691871,0.4919378949,0.277664049
3.3019605275,0.7535669152,0.8240115325,0.5211611526,1.581106973,33.8734080504
0.0073115864,0.1077681147,0.0,1.0,0.0,0.1077681147
3.3585269981,0.3337184377,0.4627723941,0.165022815,2.8042934185,36.3929605413
3.5100794964,0.4432674515,0.5067573776,0.1749954638,2.8958315071,41.0909191221
0.2921184613,0.4545056532,0.0,1.0,0.0,0.4545056532
3.1159510349,0.7538005418,0.7713187612,0.4503894562,1.7125595428,21.9510391132
3.7213049202,0.5263392483,0.3051547099,0.0901244956,3.3859241912,35.4231636355
1.0650490547,0.7310660032,0.0611269074,0.9388695552,0.0651069225,0.6699390959
2.2628521267,0.8763826755,0.5580798285,0.4419201715,1.2628521267,0.9490678484
3.6208898552,0.3783868861,0.334407725,0.1029548164,3.248101805,41.231217832
2.278128851,0.1095064656,0.561043266,0.438956734,1.278128851,0.4630624847
1.0795010267,0.9201541982,0.0736475212,0.9263523549,0.0795027085,0.846506677
2.0793118871,0.5289093758,0.5190716668,0.4809283332,1.0793118871,0.0119654501
2.0078586847,0.4776543918,0.5019569815,0.4980430185,1.0078586847,0.0243143445
0.7505209069,0.1576011331,0.0,1.0,0.0,0.1576011331
0.2029653322,0.16645549,0.0,1.0,0.0,0.16645549
0.9753512521,0.3897924112,0.0019552052,0.9979913489,0.0019591404,0.3878372061
2.0128143692,0.7734045983,0.503183197,0.496816803,1.0128143692,0.5711379482
1.7974221772,0.6995735754,0.4436476791,0.5563523209,0.7974221772,0.3876914216
3.3305829708,0.3488510827,0.4705003629,0.1702526258,2.7635424745,35.3374749544
1.4183667056,0.3626717465,0.29496371,0.70503629,0.4183667056,0.0677080365
3.3689500476,0.3386145848,0.459985186,0.1631568015,2.8192829333,36.9974876506
3.1981820108,0.5471835284,0.5137355196,0.2010578807,2.5551623136,28.4383612149
0.2968732166,0.0065468033,0.0,1.0,0.0,0.0065468033
0.9479927674,0.5357524116,0.0002050554,0.9997836483,0.0002050998,0.5355473561
1.4546376636,0.2298434585,0.3125435804,0.6874564196,0.4546376636,0.0827001219
3.5386024185,0.534237467,0.520742989,0.1793142315,2.9040806454,40.8626531302
2.3083017578,0.0168976328,0.5667810776,0.4332189224,1.3083017578,0.577973904
3.4148372494,0.6341794378,0.4482701311,0.1554296905,2.8840701528,39.0940406357
1.5631659724,0.6172639737,0.3602726661,0.6397273339,0.5631659724,0.2569913076
0.9268352705,0.6124497356,2.81424e-05,0.9999696351,2.81433e-05,0.6124215931
0.9779842944,0.1196541586,0.0021518806,0.9977948149,0.0021566364,0.117502278
1.6822496712,0.5851560231,0.4055579162,0.5944420838,0.6822496712,0.1795981069
1.2684860105,0.5764527584,0.2116586295,0.7883413705,0.2684860105,0.3647941289
0.3602146813,0.3092821934,0.0,1.0,0.0,0.3092821934
3.6886147484,0.4183650639,0.7705424047,0.7027375115,1.0964867993,30.998794228
0.6924797958,0.1167365777,0.0,1.0,0.0,0.1167365777
2.2251913162,0.6266998138,0.5506004393,0.4493995607,1.2251913162,0.1485433976
1.9812909398,0.7719225974,0.4952785682,0.5047214318,0.9812909398,0.5695565247
2.5680173327,0.6728065911,0.6105945286,0.3894054714,1.5680173327,0.2509248506
0.7351477976,0.9794546482,0.0,1.0,0.0,0.9794546482
2.4541494279,0.5109031335,0.5925268492,0.4074731508,1.4541494279,0.1605611357
2.0050705547,0.7635462408,0.501264433,0.498735567,1.0050705547,0.5408062589
2.7759196275,0.3477422312,0.6397590225,0.3602409775,1.7759196275,0.3604706595
0.5605651734,0.7990992409,0.0,1.0,0.0,0.7990992409
1.3012234662,0.7162942954,0.2314924946,0.7685075054,0.3012234662,0.4848018008
0.1284587476,0.4839614508,0.0,1.0,0.0,0.4839614508
3.7688461285,0.5642305419,0.2469136225,0.070482109,3.5032099047,37.8761400888
0.9443714226,0.4143147979,0.0001473174,0.9998439805,0.0001473404,0.4141674805
1.7356942386,0.5757152835,0.4238616585,0.5761383415,0.7356942386,0.151853625
3.4796123602,0.0664051376,0.4868546124,0.1682114168,2.894301835,40.5393758369
3.5241403063,0.1138083703,0.8803260744,0.4858160505,1.8120563813,40.5900528076
0.8575047928,0.3861658339,1.95e-08,0.9999999772,1.95e-08,0.3861658143
2.9937240484,0.959315755,0.676576642,0.3450752835,1.9606638737,4.5828057809
0.9854752217,0.8879265355,0.0036555934,0.9962766641,0.0036692553,0.8842709421
2.814970016,0.8664879434,0.6447564292,0.3552435707,1.8149700162,1.0781464062
3.7291184997,0.418004492,0.7078024949,0.7453482466,0.9496265646,33.0024297012
2.0034051963,0.322518788,0.5008498521,0.4991501479,1.0034051963,0.1783316729
0.1424525877,0.1452349305,0.0,1.0,0.0,0.1452349305
3.9006982645,0.3947496712,0.2448394677,0.0672969986,3.6381929789,47.5094490268
1.5783207535,0.7034386797,0.3664152247,0.6335847753,0.5783207535,0.4113383853
1.0883820147,0.0355868852,0.0811941711,0.9188068744,0.0883691376,0.0456072859
2.9386556595,0.9280403285,0.6595896001,0.3401652013,1.9390272656,3.2212795041
0.9048206222,0.1849156563,2.7168e-06,0.9999969974,2.7168e-06,0.1849129395
0.563696101,0.6377468113,0.0,1.0,0.0,0.6377468113
2.8963661459,0.5009454348,0.6547385873,0.3452588801,1.8963700141,1.4325062689
2.4124793353,0.7924621777,0.5854886774,0.4145113226,1.4124793353,0.5952854864
1.3889789599,0.6830789157,0.2800466898,0.7199533102,0.3889789599,0.4030322259
3.1321905045,0.9626559383,0.7776137078,0.4583483251,1.6965562328,20.3692511779
2.8317029789,0.7044519188,0.646855618,0.3531443832,1.831702977,0.6430909421
2.8489773778,0.6155335081,0.6489968595,0.3510031353,1.8489773857,0.3765762706
3.690927532,0.8766035871,0.4690703415,0.1494110506,3.1394621716,33.7696479167
2.100077075,0.2682713983,0.5238270005,0.4761729995,1.100077075,0.2578447941
2.7917938901,0.2615869057,0.6418073685,0.3581926315,1.7917938901,0.8984806719
0.7307531155,0.2745449059,0.0,1.0,0.0,0.2745449059
3.4367118866,0.4991992396,0.4438419394,0.1523611998,2.9130903402,40.4248153724
0.8261113055,0.6893531222,5e-10,0.9999999994,5e-10,0.6893531217
2.5214469508,0.1500368312,0.6034023243,0.3965976757,1.5214469508,0.5429083693
1.1835888947,0.1258398647,0.1551120456,0.8448879544,0.1835888946,0.029272181
0.9095312801,0.1807289771,4.3873e-06,0.9999951763,4.3873e-06,0.1807245898
3.26971352,0.3274968608,0.4888176711,0.1829804796,2.6714197719,31.3703237863
2.8233359573,0.1016448258,0.6458090655,0.3541909337,1.8233359585,1.1901438374
0.0665994661,0.2928433313,0.0,1.0,0.0,0.2928433313
0.7106815626,0.1464372195,0.0,1.0,0.0,0.1464372195
1.4896581694,0.6877936567,0.3287050543,0.6712949457,0.4896581694,0.3767395593
0.2953884344,0.9529404896,0.0,1.0,0.0,0.9529404896
3.2595485899,0.2236535365,0.8146840729,0.5078931255,1.6040462688,32.11327861
0.0472886994,0.6944157852,0.0,1.0,0.0,0.6944157852
3.9294794457,0.9827578407,0.9065751503,0.3611160882,2.5104811997,41.0736756677
2.2858931008,0.2334648537,0.5625342237,0.4374657763,1.2858931008,0.336447493
3.5013492728,0.1710537674,0.8266675789,0.6178994535,1.3378674705,40.9154974139
2.8699077045,0.65962662,0.651556746,0.3484432695,1.8699076806,0.1174300024
1.1367902188,0.0876685312,0.1203302022,0.8796698008,0.1367901935,0.032661671
0.3290883012,0.0017623613,0.0,1.0,0.0,0.0017623613
0.9444362292,0.6971217045,0.0001448704,0.9998465829,0.0001448926,0.6969768341
1.3534648347,0.1653444357,0.2611555363,0.7388444637,0.3534648347,0.0958111006
3.9519303356,0.3160498195,0.6915797944,0.7738649813,0.8936698405,45.0309054479
1.0157757114,0.255668874,0.0190168763,0.9809142015,0.0193868905,0.2366519977
3.3116825161,0.2841295553,0.8260059912,0.5240446784,1.5762129169,33.4451316194
0.1651822445,0.0182295046,0.0,1.0,0.0,0.0182295046
2.5623520444,0.2389374399,0.6097335641,0.3902664359,1.5623520444,0.5043901664
2.8351161367,0.6773708283,0.6472807636,0.3527192374,1.8351161351,0.346255081
0.7554748991,0.5634956309,0.0,1.0,0.0,0.5634956309
0.1975192333,0.910232189,0.0,1.0,0.0,0.910232189
1.1829910425,0.4867028918,0.1546850619,0.8453149381,0.1829910427,0.3320178299
2.3187121863,0.2015663147,0.5687261205,0.4312738795,1.3187121863,0.3873677145
0.483636085,0.5028069735,0.0,1.0,0.0,0.5028069735
0.3368215172,0.4343696413,0.0,1.0,0.0,0.4343696413
2.5518998133,0.021637416,0.6081350863,0.3918649137,1.5518998133,0.7189185865
0.0744560434,0.2510101773,0.0,1.0,0.0,0.2510101773
3.0824388129,0.3010790484,0.7563117386,0.4318932939,1.7511541607,17.128533845
0.9197095653,0.8652309434,1.1289e-05,0.9999877253,1.12891e-05,0.8652196544
