k,x_zero,x_t,Component A,Component B,Fatigue
1.1277006581,0.5613904649,0.1132399321,0.8867600565,0.1277007589,0.4481505327
1.0430557791,0.5585519918,0.0416899892,0.958291295,0.0435045058,0.5168620026
1.4456660107,0.9216533923,0.3082772974,0.6917227026,0.4456660107,1.0211521822
1.7129323007,0.3243705136,0.4162057662,0.5837942338,0.7129323007,0.0918352526
3.2450326613,0.3237120894,0.4969356152,0.188772307,2.6324603595,29.5306002647
1.2366161825,0.9148386127,0.1913416514,0.8086583486,0.2366161825,0.9134933881
1.4671876543,0.1331079288,0.3184239268,0.6815760732,0.4671876543,0.1853159981
1.9662108372,0.175152442,0.4914075433,0.5085924567,0.9662108372,0.3162551013
2.8168749432,0.0941605194,0.6449966645,0.3550033351,1.8168749438,1.2099980153
2.8183456568,0.0194313532,0.6451819181,0.3548180818,1.8183456569,0.692923781
1.5843070187,0.4211255081,0.3688092092,0.6311907908,0.5843070187,0.0523162989
1.7145339782,0.2441201198,0.4167511331,0.5832488669,0.7145339782,0.1726310134
1.1322982619,0.1864689428,0.1168404986,0.8831594972,0.1322982983,0.0696284442
2.6193403605,0.5441881292,0.6182244908,0.3817755092,1.6193403605,0.2478924656
3.2574660835,0.4112041495,0.4927898999,0.1858028203,2.6522196983,32.036349881
0.0660141363,0.2926022036,0.0,1.0,0.0,0.2926022036
0.0935236258,0.2596309579,0.0,1.0,0.0,0.2596309579
3.3858358495,0.426215403,0.4555721577,0.1602241125,2.8433433053,38.3904678091
0.6527983541,0.6297528968,0.0,1.0,0.0,0.6297528968
2.6110737589,0.0543856917,0.617015798,0.382984202,1.6110737589,0.7171761833
3.7860617367,0.9473402484,0.9394657959,0.4568491285,2.0564027319,41.1782960767
2.0970349648,0.0818099457,0.5231362296,0.4768637704,1.0970349648,0.4432299523
1.190308775,0.1868576771,0.159881855,0.840118145,0.190308775,0.026975822
3.5748709445,0.2631425695,0.8218461233,0.6417909497,1.2805511259,40.2511591924
3.3501729188,0.5811416491,0.4650427647,0.1665507094,2.7921992426,36.6260339437
0.5843165062,0.8632799822,0.0,1.0,0.0,0.8632799822
1.3991323666,0.9870373054,0.2852713411,0.7147286589,0.3991323666,1.2365057919
1.8573455801,0.3098179434,0.4615972328,0.5384027672,0.8573455801,0.1517792894
0.0003363536,0.7539052168,0.0,1.0,0.0,0.7539052168
1.3830402826,0.2385954222,0.2769552611,0.7230447389,0.3830402826,0.0383598389
2.0835122942,0.3461409605,0.5200412291,0.4799587709,1.0835122942,0.1740517129
3.46379167,0.7072026229,0.4088811401,0.1367430386,2.990142272,37.759712345
0.8450308472,0.8839792753,3.2e-09,0.9999999963,3.2e-09,0.8839792721
3.3507704273,0.8147540552,0.8335595487,0.5351207205,1.557703742,36.782948903
2.4375399928,0.5714357332,0.5897503208,0.4102496792,1.4375399928,0.0442715061
1.8641896659,0.6612395673,0.4635738958,0.5364261042,0.8641896659,0.2896497744
0.0288610036,0.0089108394,0.0,1.0,0.0,0.0089108394
1.008757343,0.4259567517,0.0143113142,0.9856057319,0.0145203237,0.4116454374
2.7532866124,0.5943234739,0.636797711,0.363202289,1.7532866124,0.2697169683
2.2936178152,0.5559435598,0.5640075721,0.4359924279,1.2936178152,0.0143748987
1.6407112622,0.0889116779,0.3905082369,0.6094917631,0.6407112622,0.3015965589
1.8651258651,0.8824598368,0.4638431546,0.5361568454,0.8651258651,0.9593845958
0.2937758442,0.3789061903,0.0,1.0,0.0,0.3789061903
0.0832841034,0.0465911857,0.0,1.0,0.0,0.0465911857
1.7824650523,0.4172727798,0.438979183,0.561020817,0.7824650523,0.0217064032
3.0904781175,0.3756941341,0.5633627804,0.2397882518,2.3494177725,19.1117967004
2.9445412118,0.3996157618,0.6602431621,0.3394576619,1.9449941366,1.839788466
0.5030867018,0.3315595123,0.0,1.0,0.0,0.3315595123
2.7769695879,0.3865187031,0.6398952281,0.3601047719,1.7769695879,0.4245284418
2.9958749795,0.9027056064,0.6481777261,0.3165789925,2.0474438968,7.0111874364
